"unitid","institution_name","percent_of_undergraduate_students_awarded_federal_state_local_institutional_or_other_sources_of_grant_aid","average_amount_of_federal_state_local_institutional_or_other_sources_of_grant_aid_awarded_to_undergraduate_students","percent_of_undergraduate_students_awarded_pell_grants","average_amount_pell_grant_aid_awarded_to_undergraduate_students","percent_of_undergraduate_students_awarded_federal_student_loans","average_amount_of_federal_student_loans_awarded_to_undergraduate_students","average_net_price_students_awarded_grant_or_scholarship_aid","average_net_price_income_0_30_000_students_awarded_title_iv_federal_financial_aid","average_net_price_income_over_110_000_students_awarded_title_iv_federal_financial_aid","published_in_state_tuition_and_fees","published_out_of_state_tuition_and_fees","off_campus_not_with_family_room_and_board","on_campus_room_and_board","total_price_for_in_state_students_living_on_campus","total_price_for_out_of_state_students_living_on_campus","total_price_for_in_state_students_living_off_campus_not_with_family","total_price_for_out_of_state_students_living_off_campus_not_with_family","gradrate_ba_6yrs_total","gradrate_ba_6yrs_men","gradrate_ba_6yrs_women","gradrate_ba_6yrs_black_non_hispanic","gradrate_ba_6yrs_hispanic","gradrate_ba_6yrs_white_non_hispanic","pell_grant_recipients_overall_graduation_rate_within_150_percent_of_normal_time","subsidized_stafford_loan_recipients_not_receiving_pell_grants_overall_graduation_rate_within_150_percent_of_normal_time","did_not_receive_pell_grants_or_subsidized_stafford_loans_overall_graduation_rate_within_150_percent_of_normal_time","historically_black_college_or_university","sector_of_institution","institutional_category","degree_of_urbanization_urban_centric_locale","carnegie_classification_2018_size_and_setting","full_time_retention_rate","part_time_retention_rate","undergraduate_enrollment","percent_of_undergraduate_enrollment_that_are_black_or_african_american","percent_of_undergraduate_enrollment_that_are_hispanic_latino","percent_of_undergraduate_enrollment_that_are_white","percent_of_undergraduate_enrollment_that_are_women","endowment_assets_year_end_per_fte_enrollment","number_of_branches_and_independent_libraries","all_programs_offered_completely_via_distance_education","percent_of_undergraduate_students_enrolled_exclusively_in_distance_education_courses","percent_of_undergraduate_enrollment_that_are_asian","percent_of_undergraduate_enrollment_that_are_american_indian_or_alaska_native","percent_of_undergraduate_enrollment_that_are_native_hawaiian_or_other_pacific_islander","gradrate_ba_6yrs_american_indian_or_alaska_native","gradrate_ba_6yrs_asian","gradrate_ba_6yrs_native_hawaiian_or_other_pacific_islander","endowment_total","finances_spent_research","finances_spent_student_services","finances_spent_public_service","finances_spent_academic_support","finances_spent_instruction","revenue_total","sum_subgroups"
222178,"Abilene Christian University",97,20187,26,4636,52,10550,0,0,0,34850,34850,10350,10350,49722,49722,49722,49722,67,64,69,53,52,72,53,67,73,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Midsize","Four-year, medium, highly residential",77,44,3538,9,17,64,60,0,0,"No",1,1,0,0,75,14,0,431945603,1099800,31069918,2646468,12127888,45788542,156314569,52
108232,"Academy of Art University",50,9828,36,3877,47,6833,0,0,0,22308,22308,13780,16648,44226,44226,42368,42368,38,30,45,28,31,30,27,39,47,"No","Private for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, medium, primarily nonresidential",78,40,7051,6,11,17,56,0,0,"No",38,6,0,1,0,52,100,0,0,0,0,0,0,0,53
126182,"Adams State University",68,8765,44,5031,42,6839,13383,10108,19637,9440,20456,11547,8444,22708,33724,25811,36827,29,28,31,15,25,33,21,25,37,"No","Public, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Remote","Four-year, small, highly residential",54,0,1997,8,36,42,44,25,0,"No",19,1,2,1,0,20,100,62970,0,6292616,1012690,2341126,18941116,58118569,90
188429,"Adelphi University",92,19075,32,4555,60,6966,0,0,0,38740,38740,14380,15670,58430,58430,58430,58430,70,62,74,58,65,73,65,70,74,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Large","Four-year, medium, primarily residential",80,70,5391,9,17,50,68,0,0,"No",1,11,0,0,50,79,0,188578577,668720,36148814,7892260,23862745,105179765,233606424,58
168528,"Adrian College",97,27250,36,4290,77,4325,0,0,0,37087,37087,11318,11318,53481,53481,53481,53481,45,36,60,19,35,55,38,53,53,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Distant","Four-year, small, highly residential",71,0,1817,7,5,67,48,0,0,"No",0,0,0,0,0,60,0,36705997,0,9662302,0,1377605,15620689,50581448,48
133872,"AdventHealth University",59,6042,40,2974,57,7777,0,0,0,12240,12240,11270,6126,25304,25304,30448,30448,34,58,28,33,36,18,34,21,20,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, small, primarily nonresidential",66,33,1341,19,33,34,79,0,0,"No",17,5,0,1,0,100,0,8250000,27136,689253,0,3517131,16260365,34200066,92
138600,"Agnes Scott College",98,31742,40,4893,57,6652,0,0,0,41160,41160,2500,12330,55625,55625,45795,45795,69,0,69,67,67,69,62,77,87,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Large","Four-year, very small, highly residential",79,0,996,31,13,32,99,0,0,"No",0,8,0,0,0,50,0,229425820,0,9313868,0,7650069,19516827,49384260,84
134811,"AI Miami International University of Art and Design",82,6795,43,4364,44,8311,0,0,0,17604,17604,6652,0,0,0,31655,31655,34,30,37,0,40,35,24,49,50,"No","Private for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, small, primarily nonresidential",71,79,1342,12,36,18,64,0,1,"No",0,1,0,1,0,100,0,0,0,0,0,0,0,0,91
100654,"Alabama A & M University",88,10190,70,5042,74,6846,14604,14310,19419,9744,18354,9128,9128,23462,32072,23462,32072,27,23,31,27,25,25,25,33,38,"Yes","Public, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Midsize","Four-year, medium, highly residential",61,100,5143,91,1,2,59,0,0,"No",1,0,0,0,0,0,0,0,12837888,20578573,13105484,8533583,32957353,167893322,162
100724,"Alabama State University",95,8291,76,4764,82,10129,13476,13531,13573,11068,19396,7320,6050,22110,30438,24216,32544,30,22,36,30,32,40,28,34,35,"Yes","Public, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Midsize","Four-year, medium, highly residential",59,13,3903,94,1,2,63,22281,0,"No",9,0,0,0,0,100,0,99638681,3527160,16109713,5232807,12487990,39655073,143365283,171
188526,"Albany College of Pharmacy and Health Sciences",99,14066,27,4600,75,7341,0,0,0,35105,35105,11220,10920,49585,49585,51585,51585,71,63,75,50,80,68,57,67,73,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Small","Four-year, small, highly residential",81,0,859,5,6,57,60,0,1,"No",0,18,0,0,0,82,0,51444313,4503031,7347424,0,3724958,19344220,52886872,38
138716,"Albany State University",71,6236,62,4844,65,6397,12500,11860,17505,5735,16196,10800,8878,19133,29594,21975,32436,35,24,42,37,60,13,17,32,23,"Yes","Public, 4-year or above","Degree-granting, not primarily baccalaureate or above","City: Small","Four-year, medium, primarily residential",62,26,6001,72,5,16,72,600,0,"No",18,1,0,0,100,0,0,2342135,1238666,6033696,3372374,9083885,31120896,104168597,139
168546,"Albion College",99,37465,42,4909,67,6853,0,0,0,45590,45590,12380,12380,59470,59470,59470,59470,64,64,65,53,38,65,57,60,72,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Fringe","Four-year, small, highly residential",75,0,1533,15,10,62,54,0,0,"No",0,2,0,0,100,33,0,174309623,710225,15098405,189303,3740826,20625134,64065807,67
210571,"Albright College",93,32416,52,4314,87,6816,0,0,0,45306,45306,12070,12070,60636,60636,61036,61036,51,47,55,31,44,66,46,58,52,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Small","Four-year, small, highly residential",68,0,1912,23,15,50,60,0,0,"No",2,2,1,0,25,45,0,69325252,0,10059171,255077,2272313,19567483,50390292,91
175342,"Alcorn State University",84,9430,73,5494,73,7341,13907,13687,20500,7084,7084,10372,10372,24032,24032,25856,25856,40,31,47,39,57,0,48,26,25,"Yes","Public, 4-year or above","Degree-granting, primarily baccalaureate or above","Rural: Remote","Four-year, medium, highly residential",73,20,3173,91,1,3,64,5677,1,"No",6,0,0,0,0,50,0,18728677,6952563,8101924,6337702,6626071,17301870,90786523,165
188641,"Alfred University",91,21832,42,4587,72,6244,0,0,0,29188,29188,12516,12516,45104,45104,45104,45104,60,52,68,44,57,65,57,59,63,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Remote","Four-year, small, highly residential",73,0,1671,11,9,60,50,0,1,"No",0,1,0,0,0,62,0,129318223,3602942,11676428,104657,8819521,26965130,80520682,62
210669,"Allegheny College",99,35451,34,4694,66,6693,0,0,0,47540,47540,9640,12140,63180,63180,60680,60680,74,65,81,55,67,76,70,72,78,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Distant","Four-year, small, highly residential",82,33,1771,9,9,67,56,0,0,"No",0,4,0,0,100,56,0,220835715,1070643,18566632,0,6611232,23584030,88415852,52
